_id,subject,difficulty,difficultyScore,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,graph,tags,metadata.generatedBy,metadata.generatedAt,metadata.timesUsed,metadata.averageAccuracy,metadata.averageTimeSpent,createdAt,updatedAt
batch10-math-001,math,easy,4,Simplify: √(48),4√3,8√2,2√12,6√2,A,"Factor 48 = 16 × 3, so √48 = √16 × √3 = 4√3.",,passport to advanced math|radicals,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-002,math,medium,6,What is √(72) simplified?,8√2,6√2,3√8,12√2,B,"Factor 72 = 36 × 2, so √72 = √36 × √2 = 6√2.",,passport to advanced math|radicals,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-003,math,medium,6,Rationalize the denominator: 5/√7,5√7/7,5√7/14,5/7,√35/7,A,Multiply numerator and denominator by √7: (5/√7) × (√7/√7) = 5√7/7.,,passport to advanced math|rationalizing denominators,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-004,math,easy,4,Factor completely: x² - 9,(x + 3)(x - 3),(x + 9)(x - 1),(x - 3)²,(x - 9)(x + 1),A,"This is a difference of squares: a² - b² = (a + b)(a - b), so x² - 9 = (x + 3)(x - 3).",,passport to advanced math|factoring,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-005,math,medium,6,Factor: 2x² + 7x + 3,(2x + 3)(x + 1),(2x + 1)(x + 3),(x + 7)(2x + 3),(2x - 1)(x - 3),B,Find factors of 2×3=6 that sum to 7: 1 and 6. Then 2x² + 7x + 3 = (2x + 1)(x + 3).,,passport to advanced math|factoring,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-006,math,medium,6,What value completes the square for x² + 8x?,4,64,16,8,C,"For x² + bx, add (b/2)². Here b=8, so (8/2)² = 16.",,passport to advanced math|completing the square,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-007,math,hard,8,What is the vertex form of x² - 6x + 2 after completing the square?,(x - 3)² - 7,(x - 6)² - 2,(x + 3)² - 7,(x - 3)² + 7,A,Complete the square: x² - 6x + 9 - 9 + 2 = (x - 3)² - 7.,,passport to advanced math|completing the square,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-008,math,medium,6,What is the discriminant of x² - 4x + 4 = 0?,-8,0,16,8,B,Discriminant = b² - 4ac = (-4)² - 4(1)(4) = 16 - 16 = 0.,,passport to advanced math|discriminant,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-009,math,medium,6,How many real solutions does x² - 5x + 7 = 0 have?,1,0,3,2,B,Discriminant = (-5)² - 4(1)(7) = 25 - 28 = -3. Negative discriminant means no real solutions.,,passport to advanced math|discriminant,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch10-math-010,math,easy,4,"The midpoint of (a, 3) and (7, b) is (5, 6). What is a + b?",8,12,10,11,B,"(a + 7)/2 = 5, so a = 3. (3 + b)/2 = 6, so b = 9. Therefore a + b = 12.",,coordinate geometry|midpoint,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
